name,score,status
CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@H](C[C@H]23)C1(O)C[C@H](OC)[C@H]2C[C@@H]4C1(O)[C@H]2OC,3,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]2C[C@@H]([C@@H]13)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,3,PASS
O=C(CCN1CC[C@@H](c2ccccc2)C1)c1ccc2c(c1)OCCO2.O=C(CCN1CC[C@H](c2ccccc2)C1)c1ccc2c(c1)OCCO2,2,FAIL
Cl.O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,4,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)[C@]34C1[C@H](CC23)[C@@]1(O)CC(OC)[C@H]2CC4C1(O)[C@H]2OC,3,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](CC23)[C@@]1(O)C[C@H](OC)[C@H]2CC4[C@]1(O)[C@H]2OC,3,PASS
C[C@H](N)C(=O)c1ccccc1.Cl,4,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1C(C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,3,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)[C@@]1(O)CC(OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,3,PASS
NCC1CC(=O)N(Cc2ccccc2)C1.NCC1CC(=O)N(Cc2ccccc2)C1.O=C(O)/C=C/C(=O)O,3,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,3,PASS
Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,4,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,3,PASS
C[C@@H](N)C(=O)c1ccccc1.Cl,4,PASS
CCc1nc(C)ccc1O.Cl,4,PASS
CCc1nc(C)ccc1O.O=C(O)CCC(=O)O,4,PASS
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(C[C@@H]32)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,3,PASS
CCc1nc(C)ccc1O,4,PASS
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1S2,3,PASS
CC(N)C(=O)c1ccccc1,4,PASS
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(C)C)c1ccccc1CC2.Cl,4,PASS
Cl.Cl.c1ccc(N2CCNCC2)cc1,4,PASS
Cl.c1ccc(N2CCNCC2)cc1,4,PASS
CCOC(=O)CC[C@H](N)C(=O)OCC,4,PASS
CCOC(=O)CC[C@H](N)C(=O)OCC.Cl,4,PASS
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1.Cl,4,PASS
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,4,PASS
CCCCCCOc1nsnc1C1=CCCN(C)C1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,4,PASS
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(C)C)c1ccccc1CC2,4,PASS
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,4,PASS
NC(=O)NCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,4,PASS
NCC1CC(=O)N(Cc2ccccc2)C1,4,PASS
C[C@H](N)C(=O)c1ccccc1,4,PASS
CCCCCCOc1nsnc1C1=CCCN(C)C1,4,PASS
O=C(CCN1CCC(c2ccccc2)C1)c1ccc2c(c1)OCCO2,4,PASS
Cl.O=C(CCN1CCC(c2ccccc2)C1)c1ccc2c(c1)OCCO2,4,PASS
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,4,PASS
O=C(O)CCCCCC[NH2+]C1c2ccccc2CCc2ccccc21.[Cl-],4,PASS
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,3,PASS
Cl.NCCc1ccccc1,4,PASS
c1ccc(N2CCNCC2)cc1,4,PASS
NC(=O)CN1CC(O)CC1=O,4,PASS
CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(CC23)C1(O)CC(OC)C2CC4C1(O)C2OC,3,PASS
NCCc1ccccc1,4,PASS
CO[C@H]1C[C@@H](O[C@H]2[C@H](C)O[C@H](O[C@@H]3C(C)=CCC4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)C5OCC(=CC=C[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1,FAIL
COCCO.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,4,PASS
COc1cc(C[C@@H](C)N)c(OC)cc1I.COc1cc(C[C@H](C)N)c(OC)cc1I,3,PASS
N[C@]1(C(=O)O)CC[C@@H]2[C@H]1[C@@H]2C(=O)O,4,PASS
CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3C(C)=CC[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1,FAIL
[Br-].[H+].c1ccc(C2(N3CCCCC3)CCCCC2)cc1,4,PASS
Cc1ccc2c(c1)c1c3n2CCN[C@@H]3CCC1.Cc1ccc2c(c1)c1c3n2CCN[C@H]3CCC1,3,PASS
N[C@@]1(C(=O)O)CCC2[C@H](C(=O)O)[C@H]21,4,PASS
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C([O-])CCC(=O)[O-],4,PASS
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1.O=C([O-])/C=C\C(=O)[O-],4,PASS
CC[C@@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21.CC[C@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,1,FAIL
CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1.CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,3,PASS
C1=Cc2cccc(OC[C@@H]3CNCCO3)c2C1.C1=Cc2cccc(OC[C@H]3CNCCO3)c2C1,4,PASS
CCCCCCCCCC(=O)OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1.CCCCCCCCCC(=O)OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(Cl)cc32)CC1,2,FAIL
CC(C)c1ccc2c(c1)[C@@H](N1CCN(CCO)CC1)Cc1ccc(F)cc1S2.CC(C)c1ccc2c(c1)[C@H](N1CCN(CCO)CC1)Cc1ccc(F)cc1S2,2,FAIL
Cc1ccc2c(c1)[C@@H]1CN(C)CC[C@@H]1N2.Cc1ccc2c(c1)[C@@H]1CN(C)CC[C@H]1N2.Cc1ccc2c(c1)[C@H]1CN(C)CC[C@@H]1N2.Cc1ccc2c(c1)[C@H]1CN(C)CC[C@H]1N2,2,FAIL
CCNC1=Nc2ccc(Cl)cc2[C@@](C)(c2ccccc2)O1.CCNC1=Nc2ccc(Cl)cc2[C@](C)(c2ccccc2)O1,2,FAIL
CS(=O)(=O)O.CS(=O)(=O)O.O=C1CC2(CCCC2)CC(=O)N1CCNC[C@@H]1COc2ccccc2O1.O=C1CC2(CCCC2)CC(=O)N1CCNC[C@H]1COc2ccccc2O1,2,FAIL
